Country|Continent|Population|Area
|||
Brazil|South America|193,364,111|8,511,966hl
Canada|North America|34,207,000|9,976,140
China|Asia|1,339,190,000|9,596,960
Colombia|South America|48,654,404|1,091,111
Egypt|Africa|93,384,001|1,000,000
France|Europe|64,669,829|541,656
Indonesia|Asia|260,581,345|1,809,590
Italy|Europe|59,801,999|300,000
Japan|Asia|127,380,555|377,800
Mexico|North America|128,632,777|1,969,230
Nigeria|Africa|186,987,563|912,134
South Africa|Africa|54,978,907|1,222,222
South Korea|Asia|50,503,933|98,076
Sweden|Europe|9,995,345|450,295
United States of America|North America|309,975,000|9,629,091
Vietnam|Asia|95,541,921|331,310
